key,0,1,2,3,4
#,,,,,
offset,12,13,8,0,4
Int32,UInt8,UInt8,Int32,String,String
0,0,0,-1,"",""
1,1,4,82201,"Verbessertes Phantom-Beschützen","Erhöht den Effekt von <hex:024804F201F603><hex:024904F201F703>Phantom-Beschützen<hex:0249020103><hex:0248020103> auf 90<hex:021D0103>%."
2,1,5,82202,"Verbessertes Beten","Erhöht die Heilwirkung von <hex:024804F201F603><hex:024904F201F703>Beten<hex:0249020103><hex:0248020103> auf 5.000."
3,2,3,82203,"Verbessertes Wüten","Gewährt dir <hex:024804F201FA03><hex:024904F201FB03>Durch Mark und Bein<hex:0249020103><hex:0248020103>.<hex:02100103>Effekt von <hex:024804F201FA03><hex:024904F201FB03>Durch Mark und Bein<hex:0249020103><hex:0248020103>: Je mehr Schaden während der Effektdauer erlitten wird, desto höher der Attacke-Wert von <hex:024804F201F603><hex:024904F201F703>Todesstoß<hex:0249020103><hex:0248020103>.<hex:02100103>Dauer: 15 Sekunden"
4,3,4,82204,"Verbessertes Treten","Erhöht den Effekt von <hex:024804F201F603><hex:024904F201F703>Treten<hex:0249020103><hex:0248020103> auf 7<hex:021D0103>%."
5,3,6,82205,"Verbessertes Treten II","Erhöht den Effekt von <hex:024804F201F603><hex:024904F201F703>Treten<hex:0249020103><hex:0248020103> auf 9<hex:021D0103>%."
6,4,3,82206,"Verbessertes Phantom-Zielen","Erhöht den Effekt von <hex:024804F201F603><hex:024904F201F703>Phantom-Zielen<hex:0249020103><hex:0248020103> auf 30<hex:021D0103>%."
7,4,5,82207,"Verbessertes Phantom-Zielen II","Erhöht den Effekt von <hex:024804F201F603><hex:024904F201F703>Phantom-Zielen<hex:0249020103><hex:0248020103> auf 50<hex:021D0103>%."
8,5,5,82208,"Verbessertes Iainuki","Erhöht den Attacke-Wert von <hex:024804F201F603><hex:024904F201F703>Iainuki<hex:0249020103><hex:0248020103> auf 500 und gewährt eine Chance von 10<hex:021D0103>% auf den sofortigen Tod des Gegners."
9,6,2,82209,"Verbessertes Singen","Erhöht die Effekte deiner Lieder skalierend mit der Stufe deines Phantom-Barden."
10,12,6,82212,"Schlüsselmeister","Erlaubt dir das Öffnen von verschlossenen Türen in Dungeons."
11,9,5,82211,"Verbessertes Bombardieren","Gewährt eine Chance von 5<hex:021D0103>% auf den sofortigen Tod fast aller Gegner."
12,7,5,82210,"Verbessertes Läuten","Erhöht den Effekt von <hex:024804F201F603><hex:024904F201F703>Kampfesglocke<hex:0249020103><hex:0248020103> auf 5<hex:021D0103>% und die Heilwirkung von <hex:024804F201F603><hex:024904F201F703>Ruheglocke<hex:0249020103><hex:0248020103> auf 3.000."
13,0,0,-1,"",""
14,0,0,-1,"",""
15,0,0,-1,"",""
