key,0,1,2,3,4
#,MKDSupportJob,LevelUnlock,Icon,Name,Description
offset,12,13,8,0,4
Int32,UInt8,UInt8,Int32,String,String
0,0,0,-1,"",""
1,1,4,82201,"Défense améliorée","Augmente l'effet de <hex:024804F201F403><hex:024904F201F503>Défense<hex:0249020103><hex:0248020103> à 90%."
2,1,5,82202,"Prière améliorée","Augmente la puissance de <hex:024804F201F403><hex:024904F201F503>Prière<hex:0249020103><hex:0248020103> à 5000."
3,2,3,82203,"Fureur améliorée","Permet de recevoir <hex:024804F201F403><hex:024904F201F503>Brutalité<hex:0249020103><hex:0248020103> lorsque vous utilisez <hex:024804F201F403><hex:024904F201F503>Fureur<hex:0249020103><hex:0248020103>.<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>Brutalité<hex:021D0103>:<hex:0249020103><hex:0248020103> plus des dégâts sont subis pendant la durée de l'effet, plus la puissance de la prochaine action <hex:024804F201F403><hex:024904F201F503>Frappes brutales<hex:0249020103><hex:0248020103> augmente.<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>Durée<hex:021D0103>:<hex:0249020103><hex:0248020103> 15s"
4,3,4,82204,"Coups de pied améliorés","Augmente l'effet de <hex:024804F201F403><hex:024904F201F503>Coups de pied<hex:0249020103><hex:0248020103> à 7%."
5,3,6,82205,"Coups de pied améliorés II","Augmente l'effet de <hex:024804F201F403><hex:024904F201F503>Coups de pied<hex:0249020103><hex:0248020103> à 9%."
6,4,3,82206,"Ciblage amélioré","Augmente l'effet de <hex:024804F201F403><hex:024904F201F503>Ciblage<hex:0249020103><hex:0248020103> à 30% et permet aux attaques de toucher à coup sûr."
7,4,5,82207,"Ciblage amélioré II","Augmente l'effet de <hex:024804F201F403><hex:024904F201F503>Ciblage<hex:0249020103><hex:0248020103> à 50% et permet aux attaques de toucher à coup sûr."
8,5,5,82208,"Iainuki amélioré","Augmente la puissance de <hex:024804F201F403><hex:024904F201F503>Iainuki<hex:0249020103><hex:0248020103> à 500 et les chances d'infliger Mort à 10%."
9,6,2,82209,"Chants améliorés","Augmente l'effet de certains chants en fonction du niveau de job de soutien de barde fantôme."
10,12,6,82212,"Passe-partout","Permet d'ouvrir toutes les portes verrouillées dans un donjon."
11,9,5,82211,"Tir amélioré","Accorde 5% de chances d'infliger Mort à certaines cibles lors de l'utilisation de <hex:024804F201F403><hex:024904F201F503>Tir<hex:0249020103><hex:0248020103>."
12,7,5,82210,"Cloches améliorées","Augmente l'effet de chaque degré de <hex:024804F201F403><hex:024904F201F503>Cloche d'attaque<hex:0249020103><hex:0248020103> à 5%.<hex:02100103>Augmente la puissance curative de <hex:024804F201F403><hex:024904F201F503>Cloche de détente<hex:0249020103><hex:0248020103> à 3000."
13,16,5,82213,"Préséance","Permet de recevoir <hex:024804F201F403><hex:024904F201F503>Préséance<hex:0249020103><hex:0248020103> lorsque vous entrez en combat.<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>Préséance<hex:021D0103>:<hex:0249020103><hex:0248020103> la vitesse des attaques automatiques est augmentée, et les temps de lancement et de recharge des sorts et des techniques d'arme sont réduits.<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>Durée<hex:021D0103>:<hex:0249020103><hex:0248020103> 25s"
14,19,4,82214,"Magi Saut amélioré","Augmente la puissance de <hex:024804F201F403><hex:024904F201F503>Magi Saut<hex:0249020103><hex:0248020103> à 500 et son effet de réduction de dégâts à 90%."
15,21,1,82215,"Magi Apprentissage I","<hex:024804F201F403><hex:024904F201F503>Magi Missile<hex:0249020103><hex:0248020103> et <hex:024804F201F403><hex:024904F201F503>Magi Aquasouffle<hex:0249020103><hex:0248020103> peuvent être appris.<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>Magi Missile<hex:021D0103>:<hex:0249020103><hex:0248020103> 35% de chances d'infliger à certaines cibles un montant de dégâts égal à 75% des PV maximums.<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>Magi Aquasouffle<hex:021D0103>:<hex:0249020103><hex:0248020103> effectue une attaque magique neutre sur la cible et les ennemis autour."
16,21,2,82216,"Magi Apprentissage II","<hex:024804F201F403><hex:024904F201F503>Magi Extra Vent<hex:0249020103><hex:0248020103> et <hex:024804F201F403><hex:024904F201F503>Magi Garde puissante<hex:0249020103><hex:0248020103> peuvent être appris.<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>Magi Extra Vent<hex:021D0103>:<hex:0249020103><hex:0248020103> effectue une attaque magique de vent sur la cible.<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>Magi Garde puissante<hex:021D0103>:<hex:0249020103><hex:0248020103> réduit de 20% les dégâts reçus par vous et les équipiers alentour."
17,21,3,82217,"Magi Apprentissage III","<hex:024804F201F403><hex:024904F201F503>Magi Vent blanc<hex:0249020103><hex:0248020103> peut être appris.<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>Magi Vent blanc<hex:021D0103>:<hex:0249020103><hex:0248020103> restaure autant de PV qu'il vous en reste à vous et à vos équipiers alentour.<hex:02100103><hex:024804F201F403><hex:024904F201F503>Magi Méga Vent<hex:0249020103><hex:0248020103> peut aussi être appris si Magi Extra Vent a déjà été appris.<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>Magi Méga Vent<hex:021D0103>:<hex:0249020103><hex:0248020103> effectue une attaque magique de vent sur la cible et les ennemis autour."
18,22,6,82218,"Sorcellerie","Permet de recevoir <hex:024804F201F403><hex:024904F201F503>Chaîne de sorts<hex:0249020103><hex:0248020103> lorsque vous utilisez un sort requérant un temps de lancement.<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>Durée<hex:021D0103>:<hex:0249020103><hex:0248020103> 15s<hex:02100103><hex:024804F201F403><hex:024904F201F503>Chaîne de sorts<hex:0249020103><hex:0248020103> permet de lancer votre sort suivant instantanément. Utiliser une action (sauf attaque automatique ou aptitude) met im<hex:02160103>mé<hex:02160103>dia<hex:02160103>te<hex:02160103>ment fin à l'effet."
19,0,24,82219,"Soutien inconditionnel","Permet de changer de job de soutien même sous l'effet Changement de job impossible ou pendant un combat."
