key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,Name,NameShort,NameFemale,Description,NameEnglish,LevelMax,JobIndex,LevelUnlock[0],Action[0],LevelUnlock[1],Action[1],LevelUnlock[2],Action[2],LevelUnlock[3],Action[3],LevelUnlock[4],Action[4]
offset,0,4,8,12,16,40,41,42,20,43,24,44,28,45,32,46,36
Int32,String,String,String,String,String,UInt8,UInt8,UInt8,UInt32,UInt8,UInt32,UInt8,UInt32,UInt8,UInt32,UInt8,UInt32
0,"Freelance fantôme","Freelance fant.","","Les réminiscences d'un aventurier libre comme l'air vous octroient la maîtrise d'actions taillées sur mesure pour l'exploration.","Phantom Freelancer",0,16,5,41650,10,41651,15,46606,0,0,0,0
1,"Paladin fantôme","Paladin fant.","","Les réminiscences d'un paladin honorable et dévoué vous octroient la maîtrise d'actions qui vous permettront de protéger vos alliés.","Phantom Knight",6,1,1,41588,2,41589,3,41590,6,41591,0,0
2,"Berserker fantôme","Berserker fant.","","Les réminiscences d'un berserker téméraire et fougueux vous octroient la maîtrise d'actions aussi risquées que destructrices.","Phantom Berserker",3,5,1,41592,2,41594,0,0,0,0,0,0
3,"Moine fantôme","Moine fant.","","Les réminiscences d'un moine méditatif et assidu vous octroient la maîtrise d'actions offensives décisives.","Phantom Monk",6,2,1,41595,2,41596,3,41597,5,41598,0,0
4,"Rôdeur fantôme","Rôdeur fant.","","Les réminiscences d'un rôdeur fier et passionné vous octroient la maîtrise d'actions puisant dans les forces de la nature.","Phantom Ranger",6,6,1,41599,2,41600,4,41601,6,41602,0,0
5,"Samouraï fantôme","Samouraï fant.","","Les réminiscences d'un samouraï discipliné et respectueux de la voie du guerrier vous octroient la maîtrise d'actions soudaines et mortelles.","Phantom Samurai",5,4,1,41603,2,41604,3,41605,4,41606,0,0
6,"Barde fantôme","Barde fant.","","Les réminiscences d'un barde enthousiaste et poétique vous octroient la maîtrise d'actions tout en musique et chants.","Phantom Bard",4,11,1,41608,2,41609,3,41607,4,41610,0,0
7,"Géomancien fantôme","Géomancien fant.","","Les réminiscences d'un géomancien versé dans les lois de l'univers vous octroient la maîtrise d'actions fluctuant avec la météo.","Phantom Geomancer",5,10,1,41611,2,41612,3,41619,4,41620,0,0
8,"Chronomancien fantôme","Chronomancien fant.","","Les réminiscences d'un chronomancien imperturbable et rigoureux vous octroient la maîtrise d'actions manipulant le temps à votre avantage.","Phantom Time Mage",5,8,1,41621,2,41623,3,41624,4,41622,5,41625
9,"Artilleur fantôme","Artilleur fant.","","Les réminiscences d'un artilleur expert en tactique et balistique vous octroient la maîtrise d'actions aux munitions aussi effectives que variées.","Phantom Cannoneer",6,14,1,41626,2,41627,3,41628,4,41629,6,41630
10,"Alchimiste fantôme","Alchimiste fant.","","Les réminiscences d'un alchimiste virtuose des concoctions vous octroient la maîtrise d'actions tirant la quintessence de divers remèdes.","Phantom Chemist",4,9,1,41631,2,41633,3,41634,4,41635,0,0
11,"Devin fantôme","Devin fant.","","Les réminiscences d'un devin aux capacités de discernement surnaturelles vous octroient la maîtrise d'actions aux effets ultérieurs.","Phantom Oracle",5,13,1,41636,2,41641,3,41642,4,41643,5,41644
12,"Voleur fantôme","Voleur fant.","","Les réminiscences d'un voleur rusé et généreux vous octroient la maîtrise d'actions subtiles et bigarrées pour tirer votre épingle du jeu.","Phantom Thief",6,3,1,41646,2,41645,3,41647,4,41648,5,41649
13,"Chevalier mage fantôme","Chevalier mage fant.","","Les réminiscences d'un chevalier mage dévoué et expert des arcanes vous octroient la maîtrise d'actions permettant d'enchanter votre épée.","Phantom Mystic Knight",4,7,1,46591,2,46590,3,46592,4,46593,0,0
14,"Gladiateur fantôme","Gladiateur fant.","","Les réminiscences d'un gladiateur inflexible et sans peur vous octroient la maîtrise d'un large éventail d'actions offensives et défensives.","Phantom Gladiator",4,15,1,46594,2,46595,3,46596,4,46597,0,0
15,"Danseur fantôme","Danseur fant.","","Les réminiscences d'un danseur expressif et raffiné vous octroient la maîtrise d'actions de danse aux effets divers et variés.","Phantom Dancer",4,12,1,46598,2,46603,3,46604,4,46605,0,0
